UKPRN_FoR	UKPRN	FoR	Mean4	Mean3	Mean2	Mean1	GPA
10007794_20	10007794	20	60.0	40.0	0.0	0.0	3.60
10007794_21	10007794	21	0.0	86.7	13.3	0.0	2.87
10007794_22	10007794	22	60.0	30.0	10.0	0.0	3.50
10007794_25	10007794	25	40.0	60.0	0.0	0.0	3.40
10007794_27	10007794	27	0.0	80.0	20.0	0.0	2.80
10007794_28	10007794	28	40.0	46.7	0.0	13.4	3.13
10007794_29	10007794	29	53.3	33.4	13.3	0.0	3.40
10007794_3	10007794	3	70.0	30.0	0.0	0.0	3.70
10007794_30	10007794	30	66.0	34.0	0.0	0.0	3.66
10007794_31	10007794	31	10.0	50.0	20.0	20.0	2.50
10007794_32	10007794	32	0.0	20.0	80.0	0.0	2.20
10007794_33	10007794	33	40.0	50.0	10.0	0.0	3.30
10007794_34	10007794	34	73.3	26.7	0.0	0.0	3.73
10007794_35	10007794	35	40.0	60.0	0.0	0.0	3.40
10007794_36	10007794	36	40.0	46.7	13.3	0.0	3.27
10007794_4	10007794	4	60.0	0.0	40.0	0.0	3.20
10007794_5	10007794	5	38.6	55.7	5.7	0.0	3.33
10007794_6	10007794	6	82.0	18.0	0.0	0.0	3.82
10007794_7	10007794	7	30.0	50.0	20.0	0.0	3.10
10007794_8	10007794	8	35.0	65.0	0.0	0.0	3.35
10007794_9	10007794	9	42.0	58.0	0.0	0.0	3.42
10007795_1	10007795	1	72.0	28.0	0.0	0.0	3.72
10007795_10	10007795	10	56.7	30.0	13.3	0.0	3.43
10007795_11	10007795	11	73.3	26.7	0.0	0.0	3.73
10007795_12	10007795	12	60.0	40.0	0.0	0.0	3.60
10007795_13	10007795	13	53.3	46.7	0.0	0.0	3.53
10007795_14	10007795	14	28.0	64.0	8.0	0.0	3.20
10007795_15	10007795	15	18.0	50.0	32.0	0.0	2.86
10007795_17	10007795	17	33.3	40.0	26.7	0.0	3.07
10007795_19	10007795	19	60.0	35.0	5.0	0.0	3.55
10007795_2	10007795	2	50.0	40.0	10.0	0.0	3.40
10007795_20	10007795	20	80.0	20.0	0.0	0.0	3.80
10007795_21	10007795	21	66.7	33.3	0.0	0.0	3.67
10007795_22	10007795	22	60.0	40.0	0.0	0.0	3.60
10007795_25	10007795	25	60.0	30.0	10.0	0.0	3.50
10007795_26	10007795	26	60.0	40.0	0.0	0.0	3.60
10007795_28	10007795	28	40.0	27.1	10.0	22.9	2.84
10007795_29	10007795	29	50.0	50.0	0.0	0.0	3.50
10007795_3	10007795	3	84.0	16.0	0.0	0.0	3.84
10007795_30	10007795	30	50.0	50.0	0.0	0.0	3.50
10007795_31	10007795	31	0.0	100.0	0.0	0.0	3.00
10007795_32	10007795	32	30.0	60.0	10.0	0.0	3.20
10007795_33	10007795	33	20.0	60.0	20.0	0.0	3.00
10007795_34	10007795	34	61.7	38.4	0.0	0.0	3.62
10007795_35	10007795	35	75.0	25.0	0.0	0.0	3.75
10007795_36	10007795	36	63.3	36.7	0.0	0.0	3.63
10007795_4	10007795	4	36.0	64.0	0.0	0.0	3.36
10007795_5	10007795	5	71.4	28.6	0.0	0.0	3.71
10007795_6	10007795	6	60.0	40.0	0.0	0.0	3.60
10007795_7	10007795	7	46.7	48.9	4.4	0.0	3.42
10007795_8	10007795	8	50.0	50.0	0.0	0.0	3.50
10007795_9	10007795	9	66.7	33.3	0.0	0.0	3.67
10007796_1	10007796	1	65.0	35.0	0.0	0.0	3.65
10007796_10	10007796	10	13.3	36.7	50.0	0.0	2.63
10007796_11	10007796	11	0.0	40.0	46.7	13.3	2.27
10007796_15	10007796	15	0.0	100.0	0.0	0.0	3.00
10007796_17	10007796	17	43.3	45.1	11.7	0.0	3.32
10007796_18	10007796	18	0.0	26.7	33.3	40.0	1.87
10007796_19	10007796	19	11.4	54.3	28.6	5.7	2.71
10007796_2	10007796	2	66.7	33.3	0.0	0.0	3.67
10007796_20	10007796	20	16.0	58.0	26.0	0.0	2.90
10007796_21	10007796	21	0.0	80.0	20.0	0.0	2.80
10007796_22	10007796	22	0.0	100.0	0.0	0.0	3.00
10007796_23	10007796	23	0.0	0.0	100.0	0.0	2.00
10007796_25	10007796	25	0.0	66.7	33.3	0.0	2.67
10007796_28	10007796	28	0.0	60.0	40.0	0.0	2.60
10007796_29	10007796	29	30.0	60.0	10.0	0.0	3.20
10007796_30	10007796	30	30.0	40.0	30.0	0.0	3.00
10007796_34	10007796	34	50.0	50.0	0.0	0.0	3.50
10007796_36	10007796	36	76.7	16.7	6.7	0.0	3.70
10007796_4	10007796	4	0.0	100.0	0.0	0.0	3.00
10007796_5	10007796	5	48.0	32.0	20.0	0.0	3.28
10007796_7	10007796	7	13.3	86.7	0.0	0.0	3.13
10007796_8	10007796	8	36.7	50.0	13.3	0.0	3.23
10007796_9	10007796	9	43.3	43.4	13.3	0.0	3.30
10007798_1	10007798	1	61.3	33.4	5.3	0.0	3.56
10007798_10	10007798	10	53.3	46.7	0.0	0.0	3.53
10007798_11	10007798	11	76.0	24.0	0.0	0.0	3.76
10007798_12	10007798	12	60.0	40.0	0.0	0.0	3.60
10007798_13	10007798	13	56.0	24.7	19.4	0.0	3.37
10007798_14	10007798	14	50.0	50.0	0.0	0.0	3.50
10007798_16	10007798	16	36.7	63.3	0.0	0.0	3.37
10007798_17	10007798	17	25.0	65.0	10.0	0.0	3.15
10007798_18	10007798	18	40.0	50.0	10.0	0.0	3.30
10007798_19	10007798	19	53.8	27.7	12.3	6.2	3.29
10007798_2	10007798	2	10.0	50.0	40.0	0.0	2.70
10007798_20	10007798	20	36.0	64.0	0.0	0.0	3.36
10007798_21	10007798	21	16.0	76.0	8.0	0.0	3.08
10007798_23	10007798	23	66.7	26.6	6.7	0.0	3.60
10007798_24	10007798	24	60.0	40.0	0.0	0.0	3.60
10007798_25	10007798	25	40.0	60.0	0.0	0.0	3.40
10007798_28	10007798	28	45.0	40.0	15.0	0.0	3.30
10007798_29	10007798	29	50.0	50.0	0.0	0.0	3.50
10007798_3	10007798	3	86.7	13.3	0.0	0.0	3.87
10007798_30	10007798	30	50.0	30.0	20.0	0.0	3.30
10007798_31	10007798	31	20.0	60.0	20.0	0.0	3.00
10007798_32	10007798	32	40.0	40.0	20.0	0.0	3.20
10007798_33	10007798	33	50.0	50.0	0.0	0.0	3.50
10007798_34	10007798	34	20.0	80.0	0.0	0.0	3.20
10007798_35	10007798	35	65.0	35.0	0.0	0.0	3.65
10007798_4	10007798	4	60.0	40.0	0.0	0.0	3.60
10007798_5	10007798	5	36.7	42.0	21.3	0.0	3.15
10007798_7	10007798	7	44.0	56.0	0.0	0.0	3.44
10007798_8	10007798	8	50.0	50.0	0.0	0.0	3.50
10007798_9	10007798	9	82.9	17.1	0.0	0.0	3.83
10007799_1	10007799	1	75.0	25.0	0.0	0.0	3.75
10007799_10	10007799	10	53.3	36.7	10.0	0.0	3.43
10007799_11	10007799	11	90.0	10.0	0.0	0.0	3.90
10007799_12	10007799	12	16.0	76.0	8.0	0.0	3.08
10007799_13	10007799	13	40.0	30.0	10.0	0.0	2.70
10007799_14	10007799	14	42.0	58.0	0.0	0.0	3.42
10007799_16	10007799	16	42.0	58.0	0.0	0.0	3.42
10007799_17	10007799	17	35.0	40.0	25.0	0.0	3.10
10007799_19	10007799	19	27.1	27.2	40.0	5.7	2.76
10007799_2	10007799	2	40.0	60.0	0.0	0.0	3.40
10007799_20	10007799	20	0.0	76.7	23.3	0.0	2.77
10007799_21	10007799	21	0.0	63.3	36.7	0.0	2.63
10007799_23	10007799	23	53.3	33.4	13.3	0.0	3.40
10007799_25	10007799	25	26.7	73.3	0.0	0.0	3.27
10007799_28	10007799	28	60.0	33.3	6.7	0.0	3.53
10007799_29	10007799	29	100.0	0.0	0.0	0.0	4.00
10007799_3	10007799	3	73.3	26.7	0.0	0.0	3.73
10007799_30	10007799	30	0.0	46.7	53.3	0.0	2.47
10007799_31	10007799	31	40.0	30.0	30.0	0.0	3.10
10007799_34	10007799	34	13.3	73.4	13.3	0.0	3.00
10007799_35	10007799	35	20.0	20.0	60.0	0.0	2.60
10007799_36	10007799	36	50.0	30.0	20.0	0.0	3.30
10007799_4	10007799	4	86.7	13.3	0.0	0.0	3.87
10007799_5	10007799	5	50.0	50.0	0.0	0.0	3.50
10007799_6	10007799	6	30.0	40.0	30.0	0.0	3.00
10007799_7	10007799	7	73.3	26.7	0.0	0.0	3.73
10007799_8	10007799	8	26.7	73.3	0.0	0.0	3.27
10007800_11	10007800	11	0.0	0.0	50.0	50.0	1.50
10007800_13	10007800	13	0.0	40.0	40.0	20.0	2.20
10007800_15	10007800	15	20.0	40.0	20.0	20.0	2.60
10007800_19	10007800	19	0.0	30.0	70.0	0.0	2.30
10007800_22	10007800	22	0.0	40.0	26.7	33.3	2.07
10007800_25	10007800	25	0.0	60.0	20.0	20.0	2.40
10007800_26	10007800	26	0.0	0.0	20.0	80.0	1.20
10007800_3	10007800	3	0.0	40.0	60.0	0.0	2.40
10007800_36	10007800	36	30.0	70.0	0.0	0.0	3.30
10007801_1	10007801	1	30.0	70.0	0.0	0.0	3.30
10007801_10	10007801	10	0.0	30.0	30.0	0.0	1.50
10007801_11	10007801	11	0.0	100.0	0.0	0.0	3.00
10007801_13	10007801	13	80.0	10.0	10.0	0.0	3.70
10007801_15	10007801	15	0.0	63.3	36.7	0.0	2.63
10007801_16	10007801	16	0.0	0.0	100.0	0.0	2.00
10007801_17	10007801	17	30.0	50.0	20.0	0.0	3.10
10007801_19	10007801	19	0.0	60.0	40.0	0.0	2.60
10007801_22	10007801	22	36.7	10.0	53.3	0.0	2.83
10007801_25	10007801	25	0.0	63.3	36.7	0.0	2.63
10007801_29	10007801	29	0.0	30.0	50.0	20.0	2.10
10007801_3	10007801	3	0.0	60.0	0.0	0.0	1.80
10007801_30	10007801	30	0.0	40.0	60.0	0.0	2.40
10007801_34	10007801	34	0.0	90.0	10.0	0.0	2.90
10007801_35	10007801	35	50.0	30.0	20.0	0.0	3.30
10007801_4	10007801	4	40.0	40.0	20.0	0.0	3.20
10007801_6	10007801	6	40.0	23.3	36.7	0.0	3.03
10007801_7	10007801	7	16.0	76.0	8.0	0.0	3.08
10007802_10	10007802	10	10.0	90.0	0.0	0.0	3.10
10007802_13	10007802	13	13.3	36.7	36.7	13.3	2.50
10007802_16	10007802	16	70.0	30.0	0.0	0.0	3.70
10007802_17	10007802	17	0.0	68.4	31.7	0.0	2.68
10007802_19	10007802	19	60.0	40.0	0.0	0.0	3.60
10007802_20	10007802	20	0.0	60.0	40.0	0.0	2.60
10007802_21	10007802	21	13.3	66.7	20.0	0.0	2.93
10007802_25	10007802	25	53.3	10.0	36.7	0.0	3.17
10007802_28	10007802	28	80.0	20.0	0.0	0.0	3.80
10007802_29	10007802	29	10.0	60.0	30.0	0.0	2.80
10007802_3	10007802	3	0.0	50.0	50.0	0.0	2.50
10007802_30	10007802	30	13.3	73.4	13.3	0.0	3.00
10007802_31	10007802	31	30.0	70.0	0.0	0.0	3.30
10007802_32	10007802	32	0.0	20.0	80.0	0.0	2.20
10007802_34	10007802	34	45.0	40.0	15.0	0.0	3.30
10007802_35	10007802	35	0.0	70.0	30.0	0.0	2.70
10007802_4	10007802	4	68.0	32.0	0.0	0.0	3.68
10007802_5	10007802	5	26.7	46.6	26.7	0.0	3.00
10007802_6	10007802	6	85.0	15.0	0.0	0.0	3.85
10007802_7	10007802	7	51.1	48.9	0.0	0.0	3.51
10007802_8	10007802	8	0.0	50.0	50.0	0.0	2.50
10007803_1	10007803	1	0.0	53.3	20.0	26.7	2.27
10007803_10	10007803	10	40.0	50.0	10.0	0.0	3.30
10007803_11	10007803	11	13.3	73.4	13.3	0.0	3.00
10007803_17	10007803	17	76.0	24.0	0.0	0.0	3.76
10007803_18	10007803	18	0.0	50.0	50.0	0.0	2.50
10007803_19	10007803	19	73.3	26.7	0.0	0.0	3.73
10007803_21	10007803	21	50.0	40.0	10.0	0.0	3.40
10007803_24	10007803	24	0.0	100.0	0.0	0.0	3.00
10007803_28	10007803	28	0.0	90.0	10.0	0.0	2.90
10007803_29	10007803	29	90.0	10.0	0.0	0.0	3.90
10007803_30	10007803	30	58.0	42.0	0.0	0.0	3.58
10007803_31	10007803	31	50.0	50.0	0.0	0.0	3.50
10007803_32	10007803	32	53.3	36.7	10.0	0.0	3.43
10007803_33	10007803	33	40.0	10.0	50.0	0.0	2.90
10007803_34	10007803	34	20.0	80.0	0.0	0.0	3.20
10007803_35	10007803	35	20.0	80.0	0.0	0.0	3.20
10007803_4	10007803	4	40.0	60.0	0.0	0.0	3.40
10007803_5	10007803	5	90.0	10.0	0.0	0.0	3.90
10007803_8	10007803	8	27.8	63.3	8.9	0.0	3.19
10007803_9	10007803	9	46.4	46.3	7.3	0.0	3.39
10007804_11	10007804	11	10.0	50.0	40.0	0.0	2.70
10007804_17	10007804	17	10.0	90.0	0.0	0.0	3.10
10007804_19	10007804	19	60.0	32.0	8.0	0.0	3.52
10007804_20	10007804	20	0.0	40.0	60.0	0.0	2.40
10007804_22	10007804	22	40.0	60.0	0.0	0.0	3.40
10007804_25	10007804	25	20.0	80.0	0.0	0.0	3.20
10007804_26	10007804	26	0.0	36.7	36.6	26.7	2.10
10007804_29	10007804	29	0.0	86.7	13.3	0.0	2.87
10007804_3	10007804	3	53.3	20.0	26.7	0.0	3.27
10007804_30	10007804	30	40.0	60.0	0.0	0.0	3.40
10007804_32	10007804	32	20.0	50.0	30.0	0.0	2.90
10007804_36	10007804	36	40.0	60.0	0.0	0.0	3.40
10007804_4	10007804	4	100.0	0.0	0.0	0.0	4.00
10007804_6	10007804	6	90.0	10.0	0.0	0.0	3.90
10007804_7	10007804	7	20.0	60.0	20.0	0.0	3.00
10007805_10	10007805	10	30.0	40.0	20.0	10.0	2.90
10007805_11	10007805	11	13.3	13.4	73.3	0.0	2.40
10007805_12	10007805	12	30.0	50.0	20.0	0.0	3.10
10007805_13	10007805	13	32.9	55.7	11.4	0.0	3.22
10007805_14	10007805	14	13.3	60.0	26.7	0.0	2.87
10007805_16	10007805	16	40.0	0.0	60.0	0.0	2.80
10007805_19	10007805	19	80.0	15.0	5.0	0.0	3.75
10007805_20	10007805	20	0.0	90.0	10.0	0.0	2.90
10007805_21	10007805	21	60.0	40.0	0.0	0.0	3.60
10007805_22	10007805	22	63.3	36.7	0.0	0.0	3.63
10007805_25	10007805	25	40.0	50.0	10.0	0.0	3.30
10007805_29	10007805	29	40.0	33.3	13.4	13.3	3.00
10007805_3	10007805	3	75.0	25.0	0.0	0.0	3.75
10007805_30	10007805	30	26.7	60.0	13.3	0.0	3.13
10007805_4	10007805	4	80.0	20.0	0.0	0.0	3.80
10007805_8	10007805	8	35.0	65.0	0.0	0.0	3.35
10007805_9	10007805	9	80.0	20.0	0.0	0.0	3.80
10007806_10	10007806	10	0.0	60.0	40.0	0.0	2.60
10007806_11	10007806	11	10.0	50.0	40.0	0.0	2.70
10007806_15	10007806	15	20.0	70.0	10.0	0.0	3.10
10007806_17	10007806	17	80.0	10.0	10.0	0.0	3.70
10007806_18	10007806	18	36.7	50.0	13.3	0.0	3.23
10007806_19	10007806	19	24.0	60.0	16.0	0.0	3.08
10007806_20	10007806	20	20.0	40.0	20.0	20.0	2.60
10007806_21	10007806	21	50.0	50.0	0.0	0.0	3.50
10007806_22	10007806	22	40.0	60.0	0.0	0.0	3.40
10007806_23	10007806	23	20.0	80.0	0.0	0.0	3.20
10007806_24	10007806	24	50.0	50.0	0.0	0.0	3.50
10007806_25	10007806	25	26.7	50.0	23.3	0.0	3.03
10007806_27	10007806	27	0.0	60.0	40.0	0.0	2.60
10007806_29	10007806	29	20.0	80.0	0.0	0.0	3.20
10007806_3	10007806	3	80.0	20.0	0.0	0.0	3.80
10007806_30	10007806	30	26.7	60.0	13.3	0.0	3.13
10007806_32	10007806	32	0.0	80.0	20.0	0.0	2.80
10007806_34	10007806	34	0.0	20.0	80.0	0.0	2.20
10007806_35	10007806	35	10.0	90.0	0.0	0.0	3.10
10007806_36	10007806	36	60.0	40.0	0.0	0.0	3.60
10007806_4	10007806	4	84.0	16.0	0.0	0.0	3.84
10007806_5	10007806	5	43.3	43.4	13.3	0.0	3.30
10007806_8	10007806	8	0.0	13.3	86.7	0.0	2.13
10007806_9	10007806	9	13.3	13.4	73.3	0.0	2.40
10007807_11	10007807	11	18.0	34.0	32.0	16.0	2.54
10007807_13	10007807	13	13.3	86.7	0.0	0.0	3.13
10007807_16	10007807	16	58.0	42.0	0.0	0.0	3.58
10007807_19	10007807	19	66.7	33.3	0.0	0.0	3.67
10007807_20	10007807	20	100.0	0.0	0.0	0.0	4.00
10007807_21	10007807	21	10.0	50.0	40.0	0.0	2.70
10007807_22	10007807	22	66.7	33.3	0.0	0.0	3.67
10007807_25	10007807	25	80.0	20.0	0.0	0.0	3.80
10007807_26	10007807	26	40.0	20.0	20.0	20.0	2.80
10007807_28	10007807	28	30.0	55.0	15.0	0.0	3.15
10007807_29	10007807	29	0.0	60.0	40.0	0.0	2.60
10007807_3	10007807	3	40.0	57.5	2.5	0.0	3.38
10007807_30	10007807	30	13.3	63.4	23.3	0.0	2.90
10007807_34	10007807	34	73.3	0.0	26.7	0.0	3.47
10007807_35	10007807	35	90.0	10.0	0.0	0.0	3.90
10007807_36	10007807	36	40.0	60.0	0.0	0.0	3.40
10007807_4	10007807	4	26.7	46.6	0.0	26.7	2.73
10007807_7	10007807	7	0.0	63.3	36.7	0.0	2.63
10007811_25	10007811	25	0.0	0.0	40.0	50.0	1.30
10007811_29	10007811	29	0.0	0.0	0.0	0.0	0.00
10007811_30	10007811	30	0.0	0.0	0.0	0.0	0.00
10007812_28	10007812	28	0.0	0.0	0.0	0.0	0.00
10007814_1	10007814	1	80.0	20.0	0.0	0.0	3.80
10007814_10	10007814	10	26.7	73.3	0.0	0.0	3.27
10007814_11	10007814	11	60.0	30.0	10.0	0.0	3.50
10007814_14	10007814	14	100.0	0.0	0.0	0.0	4.00
10007814_15	10007814	15	80.0	20.0	0.0	0.0	3.80
10007814_16	10007814	16	55.0	45.0	0.0	0.0	3.55
10007814_17	10007814	17	40.0	50.0	10.0	0.0	3.30
10007814_19	10007814	19	50.0	50.0	0.0	0.0	3.50
10007814_2	10007814	2	63.3	10.0	26.7	0.0	3.37
10007814_20	10007814	20	80.0	20.0	0.0	0.0	3.80
10007814_21	10007814	21	30.0	70.0	0.0	0.0	3.30
10007814_23	10007814	23	80.0	20.0	0.0	0.0	3.80
10007814_25	10007814	25	60.0	40.0	0.0	0.0	3.60
10007814_28	10007814	28	100.0	0.0	0.0	0.0	4.00
10007814_29	10007814	29	46.7	40.0	13.3	0.0	3.33
10007814_3	10007814	3	90.0	10.0	0.0	0.0	3.90
10007814_30	10007814	30	30.0	70.0	0.0	0.0	3.30
10007814_32	10007814	32	70.0	30.0	0.0	0.0	3.70
10007814_33	10007814	33	20.0	50.0	30.0	0.0	2.90
10007814_35	10007814	35	30.0	70.0	0.0	0.0	3.30
10007814_36	10007814	36	100.0	0.0	0.0	0.0	4.00
10007814_4	10007814	4	90.0	0.0	10.0	0.0	3.80
10007814_5	10007814	5	60.0	40.0	0.0	0.0	3.60
10007814_7	10007814	7	10.0	50.0	40.0	0.0	2.70
10007814_8	10007814	8	50.0	50.0	0.0	0.0	3.50
10007814_9	10007814	9	63.3	36.7	0.0	0.0	3.63
10007816_35	10007816	35	86.7	13.3	0.0	0.0	3.87
10007822_12	10007822	12	31.2	45.3	23.5	0.0	3.08
10007822_19	10007822	19	60.0	24.0	16.0	0.0	3.44
10007822_6	10007822	6	60.0	40.0	0.0	0.0	3.60
10007823_11	10007823	11	0.0	10.0	50.0	0.0	1.30
10007823_17	10007823	17	0.0	40.0	10.0	50.0	1.90
10007823_20	10007823	20	0.0	100.0	0.0	0.0	3.00
10007823_22	10007823	22	0.0	26.7	10.0	36.6	1.37
10007823_25	10007823	25	40.0	20.0	40.0	0.0	3.00
10007823_26	10007823	26	40.0	20.0	40.0	0.0	3.00
10007823_29	10007823	29	0.0	20.0	40.0	40.0	1.80
10007823_3	10007823	3	20.0	60.0	20.0	0.0	3.00
10007823_30	10007823	30	20.0	40.0	40.0	0.0	2.80
10007823_35	10007823	35	0.0	40.0	20.0	0.0	1.60
10007823_36	10007823	36	20.0	20.0	20.0	0.0	1.80
10007823_4	10007823	4	0.0	40.0	60.0	0.0	2.40
10007825_35	10007825	35	60.0	40.0	0.0	0.0	3.60
10007832_25	10007832	25	0.0	0.0	90.0	10.0	1.90
10007832_26	10007832	26	0.0	20.0	40.0	40.0	1.80
10007832_29	10007832	29	0.0	0.0	40.0	60.0	1.40
10007832_30	10007832	30	0.0	0.0	0.0	0.0	0.00
10007832_33	10007832	33	0.0	0.0	0.0	0.0	0.00
10007832_4	10007832	4	0.0	0.0	0.0	0.0	0.00
10007833_11	10007833	11	0.0	0.0	20.0	80.0	1.20
10007833_13	10007833	13	0.0	80.0	20.0	0.0	2.80
10007833_36	10007833	36	0.0	0.0	70.0	30.0	1.70
10007833_4	10007833	4	0.0	20.0	0.0	80.0	1.40
10007835_35	10007835	35	30.0	30.0	40.0	0.0	2.90
10007837_35	10007837	35	100.0	0.0	0.0	0.0	4.00
10007842_17	10007842	17	0.0	0.0	60.0	40.0	1.60
10007842_19	10007842	19	0.0	0.0	0.0	0.0	0.00
10007842_25	10007842	25	0.0	20.0	50.0	30.0	1.90
10007842_26	10007842	26	0.0	0.0	80.0	20.0	1.80
10007842_3	10007842	3	0.0	0.0	0.0	0.0	0.00
10007842_34	10007842	34	20.0	70.0	10.0	0.0	3.10
10007843_25	10007843	25	0.0	0.0	50.0	50.0	1.50
10007843_26	10007843	26	0.0	10.0	50.0	40.0	1.70
10007843_29	10007843	29	0.0	0.0	20.0	80.0	1.20
10007843_30	10007843	30	0.0	0.0	100.0	0.0	2.00
10007843_32	10007843	32	20.0	20.0	20.0	40.0	2.20
10007843_33	10007843	33	20.0	20.0	60.0	0.0	2.60
10007843_36	10007843	36	0.0	20.0	40.0	0.0	1.40
10007848_10	10007848	10	0.0	10.0	30.0	60.0	1.50
10007848_11	10007848	11	0.0	0.0	0.0	20.0	0.20
10007848_17	10007848	17	0.0	0.0	5.0	70.0	0.80
10007848_19	10007848	19	0.0	0.0	60.0	40.0	1.60
10007848_22	10007848	22	0.0	0.0	0.0	40.0	0.40
10007848_25	10007848	25	0.0	0.0	30.0	70.0	1.30
10007848_26	10007848	26	0.0	40.0	60.0	0.0	2.40
10007848_27	10007848	27	0.0	60.0	40.0	0.0	2.60
10007848_29	10007848	29	0.0	20.0	60.0	20.0	2.00
10007848_3	10007848	3	13.3	40.0	36.7	10.0	2.57
10007848_30	10007848	30	0.0	30.0	70.0	0.0	2.30
10007848_33	10007848	33	0.0	10.0	90.0	0.0	2.10
10007848_34	10007848	34	0.0	0.0	100.0	0.0	2.00
10007848_35	10007848	35	0.0	60.0	40.0	0.0	2.60
10007848_4	10007848	4	40.0	40.0	20.0	0.0	3.20
10007849_15	10007849	15	0.0	0.0	40.0	60.0	1.40
10007849_20	10007849	20	0.0	10.0	50.0	0.0	1.30
10007849_23	10007849	23	0.0	0.0	40.0	60.0	1.40
10007849_26	10007849	26	0.0	0.0	100.0	0.0	2.00
10007849_4	10007849	4	40.0	60.0	0.0	0.0	3.40
10007849_5	10007849	5	0.0	10.0	10.0	40.0	0.90
10007849_7	10007849	7	0.0	60.0	40.0	0.0	2.60
10007850_10	10007850	10	42.0	42.0	8.0	8.0	3.18
10007850_11	10007850	11	0.0	100.0	0.0	0.0	3.00
10007850_12	10007850	12	38.6	61.4	0.0	0.0	3.39
10007850_13	10007850	13	23.3	76.7	0.0	0.0	3.23
10007850_16	10007850	16	90.0	10.0	0.0	0.0	3.90
10007850_19	10007850	19	48.6	40.0	0.0	11.4	3.26
10007850_22	10007850	22	84.0	16.0	0.0	0.0	3.84
10007850_26	10007850	26	73.3	26.7	0.0	0.0	3.73
10007850_27	10007850	27	40.0	60.0	0.0	0.0	3.40
10007850_3	10007850	3	73.3	20.0	6.7	0.0	3.67
10007850_5	10007850	5	13.3	86.7	0.0	0.0	3.13
10007850_8	10007850	8	50.0	50.0	0.0	0.0	3.50
10007850_9	10007850	9	66.7	33.3	0.0	0.0	3.67
10007851_11	10007851	11	0.0	0.0	0.0	100.0	1.00
10007851_15	10007851	15	0.0	40.0	60.0	0.0	2.40
10007851_19	10007851	19	10.0	30.0	60.0	0.0	2.50
10007851_20	10007851	20	0.0	20.0	80.0	0.0	2.20
10007851_25	10007851	25	0.0	0.0	80.0	20.0	1.80
10007851_34	10007851	34	20.0	30.0	50.0	0.0	2.70
10007851_36	10007851	36	0.0	80.0	20.0	0.0	2.80
10007851_4	10007851	4	40.0	40.0	20.0	0.0	3.20
10007851_5	10007851	5	0.0	0.0	60.0	0.0	1.20
10007851_7	10007851	7	0.0	0.0	30.0	70.0	1.30
10007852_1	10007852	1	100.0	0.0	0.0	0.0	4.00
10007852_10	10007852	10	60.0	40.0	0.0	0.0	3.60
10007852_11	10007852	11	50.0	50.0	0.0	0.0	3.50
10007852_14	10007852	14	50.0	30.0	20.0	0.0	3.30
10007852_15	10007852	15	53.3	33.4	13.3	0.0	3.40
10007852_16	10007852	16	0.0	10.0	50.0	0.0	1.30
10007852_17	10007852	17	20.0	70.0	10.0	0.0	3.10
10007852_19	10007852	19	26.7	23.3	50.0	0.0	2.77
10007852_2	10007852	2	53.3	46.7	0.0	0.0	3.53
10007852_20	10007852	20	26.7	26.6	46.7	0.0	2.80
10007852_21	10007852	21	0.0	0.0	50.0	50.0	1.50
10007852_22	10007852	22	80.0	20.0	0.0	0.0	3.80
10007852_25	10007852	25	0.0	50.0	50.0	0.0	2.50
10007852_29	10007852	29	0.0	70.0	30.0	0.0	2.70
10007852_3	10007852	3	40.0	60.0	0.0	0.0	3.40
10007852_30	10007852	30	26.7	50.0	23.3	0.0	3.03
10007852_32	10007852	32	0.0	20.0	80.0	0.0	2.20
10007852_34	10007852	34	60.0	40.0	0.0	0.0	3.60
10007852_4	10007852	4	80.0	20.0	0.0	0.0	3.80
10007852_5	10007852	5	75.0	25.0	0.0	0.0	3.75
10007854_26	10007854	26	66.7	33.3	0.0	0.0	3.67
10007854_3	10007854	3	0.0	50.0	30.0	20.0	2.30
10007854_34	10007854	34	50.0	50.0	0.0	0.0	3.50
10007855_10	10007855	10	20.0	30.0	10.0	20.0	2.10
10007855_11	10007855	11	60.0	13.3	13.4	13.3	3.20
10007855_15	10007855	15	55.0	45.0	0.0	0.0	3.55
10007855_17	10007855	17	50.0	50.0	0.0	0.0	3.50
10007855_19	10007855	19	60.0	30.0	10.0	0.0	3.50
10007855_20	10007855	20	53.3	26.7	20.0	0.0	3.33
10007855_21	10007855	21	40.0	50.0	10.0	0.0	3.30
10007855_22	10007855	22	0.0	30.0	50.0	20.0	2.10
10007855_26	10007855	26	70.0	30.0	0.0	0.0	3.70
10007855_28	10007855	28	55.0	45.0	0.0	0.0	3.55
10007855_29	10007855	29	100.0	0.0	0.0	0.0	4.00
10007855_3	10007855	3	43.0	57.0	0.0	0.0	3.43
10007855_30	10007855	30	36.7	63.3	0.0	0.0	3.37
10007855_4	10007855	4	100.0	0.0	0.0	0.0	4.00
10007855_7	10007855	7	40.0	40.0	20.0	0.0	3.20
10007855_9	10007855	9	0.0	63.3	36.7	0.0	2.63
10007856_10	10007856	10	0.0	10.0	90.0	0.0	2.10
10007856_11	10007856	11	23.3	76.7	0.0	0.0	3.23
10007856_17	10007856	17	42.0	58.0	0.0	0.0	3.42
10007856_19	10007856	19	26.7	46.6	13.4	13.3	2.87
10007856_20	10007856	20	26.7	50.0	23.3	0.0	3.03
10007856_21	10007856	21	40.0	40.0	20.0	0.0	3.20
